StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      04,   199311,   1.32,   28.7,   2.25,   2.25,   1.96,   2.25,      0,   1089,   1.07,   1.46,   1.53,    .71,    .27,    .39,    .25,   16.2,   41.3,
       05,      04,   199312,    .46,   27.9,   1.98,   1.98,   -.11,   1.87,      0,   1150,   -.73,    .39,   1.09,    .43,    .17,     .3,    .31,   15.5,   40.3,
       05,      04,   199401,    .75,   27.8,   2.02,   2.02,    .71,   2.02,      0,   1153,    .27,   -.41,    .41,      1,    .17,    .35,    .26,   15.1,   40.4,
       05,      04,   199402,    .74,   25.8,   2.08,   2.08,    .81,   2.08,      0,   1098,    .04,    .09,   -.43,   1.17,    .52,    .15,    .34,   12.7,     39,
       05,      04,   199403,    .81,     38,   -.34,   1.52,  -1.03,    .98,      0,    837,    -.7,    -.7,   -.54,    .54,    .17,    .02,    -.2,   23.3,   52.8,
       05,      04,   199404,   2.12,     43,   -.16,   1.51,    .45,   1.12,      0,    660,    .32,   -.18,   -.24,   -.07,    .58,    .02,    .18,   29.4,   56.6,
       05,      04,   199405,    1.4,   56.2,     -1,     -1,  -2.58,     -1,      8,    281,  -1.03,   -.59,   -.87,     -1,    .11,   -.11,    .14,   41.1,   71.3,
       05,      04,   199406,   1.26,   66.2,  -1.58,  -1.58,  -2.05,  -1.58,    101,     65,   -.62,  -1.26,   -.88,  -1.02,   -.39,   -.46,   -.27,   49.7,   82.7,
       05,      04,   199407,    1.3,   67.1,  -2.33,  -2.33,  -2.74,  -2.33,     91,     26,  -1.33,  -1.35,  -1.88,  -1.48,  -1.23,   -.55,   -.57,   50.9,   83.4,
       05,      04,   199408,    1.8,   67.9,  -2.48,  -2.48,  -1.18,  -2.48,    108,     19,    .03,   -.94,  -1.08,  -1.33,  -1.44,   -.55,   -.91,   52.3,   83.4,
       05,      04,   199409,    .78,   59.6,  -2.86,  -2.86,  -1.89,  -2.86,     19,    181,   -.56,   -.46,  -1.11,  -1.39,  -1.46,   -.94,   -.85,   43.5,   75.8,
       05,      04,   199410,   1.99,   46.1,    .69,  -1.88,   2.06,   -.96,      0,    586,   1.11,    .31,     .2,  -1.05,  -1.07,    -.9,   -.45,     33,   59.2,
       05,      04,   199411,    .87,   32.7,    .72,  -1.58,    .31,   -.51,      0,    969,    .29,   1.02,    .35,   -.65,     -1,  -1.08,   -.57,   20.5,   44.8,
