genus_species,Family,Order,TaxonGroup,woody_non-woody,Growth_form,Decid_or_Ever,Compound_Simple,Leaf size_cm2,Whole_leaf_size_cm2,Country,Latitude,Longitude,Elevation (m),MAT,Tgs,TCM,TCMgs,TWM,MAP,PPTgs,cvPPT,MIann,MIgs,ETq,ETqgs,RADann,RADgs,RHann,RHgs
Rhododendron maximum,Ericaceae,Ericales,angio,woody,Tree,E,S,56.1,56.1,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Rhus typhina,Anacardiaceae,Sapindales,angio,woody,Tree,D,C,25.1,,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Rubus allegheniensis,Rosaceae,Rosales,angio,woody,Shrub,D,C,12.3,,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Rubus idaeus,Rosaceae,Rosales,angio,woody,Shrub,D,C,17.8,,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Rubus occidentalis,Rosaceae,Rosales,angio,woody,Shrub,D,C,8.1,,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Salix discolor,Salicaceae,Malpighiales,angio,woody,Tree,D,S,21,21,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Salix eriocephala,Salicaceae,Malpighiales,angio,woody,Shrub,D,S,19.8,19.8,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Salix lucida,Salicaceae,Malpighiales,angio,woody,Shrub,D,S,23.3,23.3,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Salix nigra,Salicaceae,Malpighiales,angio,woody,Tree,D,S,6.8,6.8,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Salix sericea,Salicaceae,Malpighiales,angio,woody,Shrub,D,S,8.7,8.7,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
