genus_species,Family,Order,TaxonGroup,woody_non-woody,Growth_form,Decid_or_Ever,Compound_Simple,Leaf size_cm2,Whole_leaf_size_cm2,Country,Latitude,Longitude,Elevation (m),MAT,Tgs,TCM,TCMgs,TWM,MAP,PPTgs,cvPPT,MIann,MIgs,ETq,ETqgs,RADann,RADgs,RHann,RHgs
Desmodium pauciflorum,Fabaceae,Fabales,angio,non-woody,Herb,,C,,60.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Eupatorium altissitnum,Asteraceae,Asterales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Kuhnia eupatorioides,Asteraceae,Asterales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Nepeta cataria,Lamiaceae,Lamiales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Saponaria officinalis,Caryophyllaceae,Caryophyllales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Verbena angustifolia,Verbenaceae,Lamiales,angio,non-woody,Herb,,S,0.75,0.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Verbena stricta,Verbenaceae,Lamiales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Melilotus alba,Fabaceae,Fabales,angio,non-woody,Herb,,C,,0.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Ambrosia artemisiifolia,Asteraceae,Asterales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Arenaria serpyllifolia,Caryophyllaceae,Caryophyllales,angio,non-woody,Herb,,S,0.17,0.17,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Bidens bipinnata,Asteraceae,Asterales,angio,non-woody,Herb,,C,,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Cenchrus carolinianus,Poaceae,Poales,angio,non-woody,Grass,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Euphorbia maculata,Euphorbiaceae,Malpighiales,angio,non-woody,Herb,,S,0.17,0.17,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Geranium bicknellii,Geraniaceae,Geraniales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Isanthus brachiatus,Lamiaceae,Lamiales,angio,non-woody,Herb,,S,0.17,0.17,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Oenothera laciniata,Onagraceae,Myrtales,angio,non-woody,Herb,,S,0.75,0.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Croton capitatus,Euphorbiaceae,Malpighiales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Croton monanthogynus,Euphorbiaceae,Malpighiales,angio,non-woody,Herb,,C,,0.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Erigeron canadensis,Asteraceae,Asterales,angio,non-woody,Herb,,S,0.75,0.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Euphorbia dentata,Euphorbiaceae,Malpighiales,angio,woody,Tree,,S,0.75,0.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Polanisia graveolens,Cleomaceae,Brassicales,angio,non-woody,Herb,,S,0.75,0.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Polygonum convolvulus,Polygonaceae,Caryophyllales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Strophostyles helvola,Fabaceae,Fabales,angio,non-woody,Vine,,C,,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Strophostyles pauciflora,Fabaceae,Fabales,angio,non-woody,Vine,,C,,6.75,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Opuntia rafinesquii,Cactaceae,Caryophyllales,angio,non-woody,Succulent,,S,0.17,0.17,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Opuntia tortispina,Cactaceae,Caryophyllales,angio,non-woody,Succulent,,S,0.17,0.17,United States,39.159,-84.307,171,11.6,15.68,-2.08,5.62,23.82,1066,849,52.41,0.89,0.76,1196.74,1116.01,181.72,157.68,69.88,69.13
Populus deltoides,Salicaceae,Malpighiales,angio,woody,Tree,D,S,60.75,60.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Salix nigra,Salicaceae,Malpighiales,angio,woody,Tree,D,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Salix longifolia,Salicaceae,Malpighiales,angio,woody,Shrub,D,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Lysimachia nummularia,Primulaceae,Ericales,angio,non-woody,Herb,,S,0.75,0.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Leersia oryzoides,Poaceae,Poales,angio,non-woody,Grass,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Scirpus cyperinus,Cyperaceae,Poales,angio,non-woody,Grass,,S,60.75,60.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Prunella vulgaris,Lamiaceae,Lamiales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Ludwigia alternifolia,Onagraceae,Myrtales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Ludwigia palustris,Onagraceae,Myrtales,angio,non-woody,Herb,,S,0.75,0.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Ludwigia polycarpa,Onagraceae,Myrtales,angio,non-woody,Herb,,S,0.75,0.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Lycopus uniflorus,Lamiaceae,Lamiales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Lycopus virginicus,Lamiaceae,Lamiales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Mimulus ringens,Phrymaceae,Lamiales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Penthorum sedoides,Penthoraceae,Saxifragales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Scutellaria lateriflora,Lamiaceae,Lamiales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Cyperus esculentus,Cyperaceae,Poales,angio,non-woody,Grass,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Alisma plantago-aquatica,Alismataceae,Alismatales,angio,non-woody,Herb,,S,60.75,60.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Sparganium eurycarpum,Typhaceae,Poales,angio,non-woody,Grass,,S,60.75,60.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Polygonum muhlenbergii,Polygonaceae,Caryophyllales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Typha latifolia,Typhaceae,Poales,angio,non-woody,Grass,,S,546.75,546.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Sagittaria latifolia,Alismataceae,Alismatales,angio,non-woody,Herb,,S,60.75,60.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Lemna minor,Araceae,Alismatales,angio,non-woody,Herb,,S,0.17,0.17,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Potamogeton dimorphus,Potamogetonaceae,Alismatales,angio,non-woody,Herb,,S,0.75,0.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Spirodela polyrhyza,Araceae,Alismatales,angio,non-woody,Herb,,S,0.17,0.17,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Bidens aristosa,Asteraceae,Asterales,angio,non-woody,Herb,,C,,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Bidens comosa,Asteraceae,Asterales,angio,non-woody,Herb,,C,,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Echinochloa crusgalli,Poaceae,Poales,angio,non-woody,Grass,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Ranunculus sceleratus,Ranunculaceae,Ranunculales,angio,non-woody,Herb,,S,6.75,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Strophostyles helvola,Fabaceae,Fabales,angio,non-woody,Vine,,C,,6.75,United States,39.136,-84.709,144,11.9,15.96,-1.56,5.94,24.04,1064,844,52.5,0.88,0.75,1203.67,1123.18,183.31,159.11,69.93,69.17
Ilex chinensis,Aquifoliaceae,Aquifoliales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Ilex latifolia,Aquifoliaceae,Aquifoliales,angio,woody,Tree,E,S,90.56,90.56,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Ilex rotunda,Aquifoliaceae,Aquifoliales,angio,woody,Tree,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Dendropanax trifidus,Araliaceae,Apiales,angio,woody,Shrub,E,S,90.56,90.56,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Aucuba japonica,Garryaceae,Garryales,angio,woody,Shrub,E,S,90.56,90.56,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Daphniphyllum macropodum,Daphniphyllaceae,Saxifragales,angio,woody,Tree,E,S,90.56,90.56,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Diospyros morrisana,Ebenaceae,Ericales,angio,woody,Shrub,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Elaeagnus glabra,Elaeagnaceae,Rosales,angio,woody,Shrub,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Elaeocarpus japonicus,Elaeocarpaceae,Oxalidales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Vaccinium bracteatum,Ericaceae,Ericales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Castanopsis cuspidata,Fagaceae,Fagales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Pasania edulis,Fagaceae,Fagales,angio,woody,Tree,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Pasania glabra,Fagaceae,Fagales,angio,woody,Tree,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Quercus gilva,Fagaceae,Fagales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Quercus glauca,Fagaceae,Fagales,angio,woody,Tree,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Quercus myrsinaefolia,Fagaceae,Fagales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Quercus salicina,Fagaceae,Fagales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Quercus sessilifolia,Fagaceae,Fagales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Distylium racemosum,Hamamelidaceae,Saxifragales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Illicium religiosum,Schisandraceae,Austrobaileyales,angio,woody,Shrub,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Actinodaphne lancifolia,Lauraceae,Laurales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Cinnamomum japonicum,Lauraceae,Laurales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Machilus japonicus,Lauraceae,Laurales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Machilus thunbergii,Lauraceae,Laurales,angio,woody,Tree,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Neolitsea aciculata,Lauraceae,Laurales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Cudrania cochinchinensis,Moraceae,Rosales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Maesa japonica,Primulaceae,Ericales,angio,woody,Shrub,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Ligustrum japonicum,Oleaceae,Lamiales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Prunus spinulosa,Rosaceae,Rosales,angio,woody,Shrub,D,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Damnacanthus indicus,Rubiaceae,Gentianales,angio,woody,Shrub,E,S,0.75,0.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Damnacanthus macrophyllus,Rubiaceae,Gentianales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Damnacanthus major,Rubiaceae,Gentianales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Lasianthus japonicus,Rubiaceae,Gentianales,angio,woody,Shrub,,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Lasianthus satsumensis,Rubiaceae,Gentianales,angio,woody,Shrub,,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Symplocos glauca,Symplocaceae,Ericales,angio,woody,Shrub,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Symplocos lancifolia,Symplocaceae,Ericales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Symplocos lucidia,Symplocaceae,Ericales,angio,woody,Shrub,,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Symplocos prunifolia,Symplocaceae,Ericales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Camellia japonica,Theaceae,Ericales,angio,woody,Shrub,E,S,30.19,30.19,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Camellia sasanqua,Theaceae,Ericales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Cleyera japonica,Pentaphylacaceae,Ericales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Eurya japonica,Pentaphylacaceae,Ericales,angio,woody,Shrub,E,S,6.75,6.75,Japan,32.167,130.583,520,14.2,16.81,2.81,7.31,24.41,2662,2378,52.93,2.22,2.23,1198.3,1068.49,169.44,140.89,78.24,78.99
Chamaecyparis obtusa,Cupressaceae,Cupressales,gymno,woody,Tree,E,S,0.17,0.17,Japan,32.2,130.4,500,16.3,16.3,5.58,5.58,27.08,2050,2322,54.96,1.64,1.86,1251.14,1251.14,171.82,171.82,76.05,76.05
Pinus densiflora,Pinaceae,Pinales,gymno,woody,Tree,E,S,0.75,0.75,Japan,32.2,130.4,500,16.3,16.3,5.58,5.58,27.08,2050,2322,54.96,1.64,1.86,1251.14,1251.14,171.82,171.82,76.05,76.05
Cryptomeria japonica,Cupressaceae,Cupressales,gymno,woody,Tree,E,S,0.17,0.17,Japan,32.2,130.4,500,16.3,16.3,5.58,5.58,27.08,2050,2322,54.96,1.64,1.86,1251.14,1251.14,171.82,171.82,76.05,76.05
Cinnamomum camphora,Lauraceae,Laurales,angio,woody,Tree,E,S,6.75,6.75,Japan,32.2,130.4,500,16.3,16.3,5.58,5.58,27.08,2050,2322,54.96,1.64,1.86,1251.14,1251.14,171.82,171.82,76.05,76.05
Cephalotaxus harringtonia,Taxaceae,Cupressales,gymno,woody,Tree,E,S,0.75,0.75,Japan,31.67,131.07,56,16.3,16.3,5.46,5.46,26.86,2050,2962,56.41,1.66,2.4,1234.07,1234.07,176.41,176.41,77.54,77.54
podocarpus macrophyllus,Podocarpaceae,Araucariales,gymno,woody,Tree,E,S,6.75,6.75,Japan,31.67,131.07,56,16.3,16.3,5.46,5.46,26.86,2050,2962,56.41,1.66,2.4,1234.07,1234.07,176.41,176.41,77.54,77.54
Pieris japonica,Ericaceae,Ericales,angio,woody,Shrub,E,S,6.75,6.75,Japan,31.67,131.07,56,16.3,16.3,5.46,5.46,26.86,2050,2962,56.41,1.66,2.4,1234.07,1234.07,176.41,176.41,77.54,77.54
Quercus acuta,Fagaceae,Fagales,angio,woody,Tree,E,S,6.75,6.75,Japan,31.67,131.07,56,16.3,16.3,5.46,5.46,26.86,2050,2962,56.41,1.66,2.4,1234.07,1234.07,176.41,176.41,77.54,77.54
Actinodaphne longifolia,Lauraceae,Laurales,angio,woody,Tree,E,S,30.19,30.19,Japan,31.67,131.07,56,16.3,16.3,5.46,5.46,26.86,2050,2962,56.41,1.66,2.4,1234.07,1234.07,176.41,176.41,77.54,77.54
Neolitsea sericea,Lauraceae,Laurales,angio,woody,Tree,E,S,30.19,30.19,Japan,31.67,131.07,56,16.3,16.3,5.46,5.46,26.86,2050,2962,56.41,1.66,2.4,1234.07,1234.07,176.41,176.41,77.54,77.54
Skimmia japonica,Rutaceae,Sapindales,angio,woody,Shrub,E,S,6.75,6.75,Japan,31.67,131.07,56,16.3,16.3,5.46,5.46,26.86,2050,2962,56.41,1.66,2.4,1234.07,1234.07,176.41,176.41,77.54,77.54
Nandina domestica,Berberidaceae,Ranunculales,angio,woody,Shrub,E,S,6.75,6.75,Japan,33.47,130.58,56,16.3,16.3,5.18,5.18,28.18,2050,1577,56.15,1.73,1.33,1186.39,1186.39,168.53,168.53,74.1,74.1
Michelia compressa,Magnoliaceae,Magnoliales,angio,woody,Tree,E,S,30.19,30.19,Japan,33.47,130.58,56,16.3,16.3,5.18,5.18,28.18,2050,1577,56.15,1.73,1.33,1186.39,1186.39,168.53,168.53,74.1,74.1
Myrica rubra,Myricaceae,Fagales,angio,woody,Tree,E,S,30.19,30.19,Japan,33.47,130.58,56,16.3,16.3,5.18,5.18,28.18,2050,1577,56.15,1.73,1.33,1186.39,1186.39,168.53,168.53,74.1,74.1
