Ring,Date,Trap,Twig (g),Bark (g),Seed (g),Leaf (g),Scat (g),Insect (g),Comments
4,14/01/2014,R4T8,6.5703,5.8213,0.0116,11.0935,0.1237,0.0081,
4,14/01/2014,R4TA,1.1708,2.3535,0.3168,8.8149,0.1398,0.0891,
5,14/01/2014,R5T1,2.976,7.4483,0.5706,25.171,0.0438,0.0919,
5,14/01/2014,R5T2,0.836,2.0556,0.8165,22.6328,0.0301,0.1003,
5,14/01/2014,R5T3,1.0966,5.7553,0.4019,17.6824,0.155,0.0247,
5,14/01/2014,R5T4,1.4964,5.2948,0.271,18.6184,0.064,0.012,
5,14/01/2014,R5T5,1.7568,2.1091,0.1303,28.2188,0.3002,0.054,
5,14/01/2014,R5T6,2.0693,5.8752,0.2395,25.9394,0.0382,0.0181,
5,14/01/2014,R5T7,1.9782,10.0175,0.129,21.5983,0.0775,0.0078,
5,14/01/2014,R5T8,4.0563,12.1922,1.0192,27.4987,0.3321,0.0601,
5,14/01/2014,R5TA,1.5483,3.4891,1.7778,9.2632,0.1025,0.3509,
6,14/01/2014,R6T1,3.9806,3.4929,1.1303,29.0621,0.0756,0.0528,
6,14/01/2014,R6T2,1.4156,1.2414,0.3182,17.9078,0.0496,0.0796,
6,14/01/2014,R6T3,1.0405,2.9785,0.327,19.154,0.123,0.004,
6,14/01/2014,R6T4,2.8235,16.2009,0.4527,21.733,0.0791,0.0134,Feather in R6T5 5169 (Indian Myna?)
6,14/01/2014,R6T5,1.3332,6.6026,0.4673,23.8195,0.0335,0.0045,0.0255
6,14/01/2014,R6T6,1.4577,3.7487,0.4634,22.1483,0.085,0.0339,
6,14/01/2014,R6T7,0.8412,4.9686,0.1052,23.7429,0.5503,0.0078,
6,14/01/2014,R6T8,2.4871,4.1462,0.0189,17.3768,0.0219,0.0188,
6,14/01/2014,R6TA,1.2648,2.7234,2.8631,8.2784,0.1364,0.3258,
1,26/02/2014,R1T1,0.7235,3.603,0,6.3567,0.0541,0.0681,
1,26/02/2014,R1T2,1.1608,0.8294,0.0283,4.0258,0.1173,0.0293,
1,26/02/2014,R1T3,1.9572,0.7849,0.1054,6.8364,0.0792,0.0402,
1,26/02/2014,R1T4,1.0144,4.7873,0,3.3664,0.0195,0.0448,
1,26/02/2014,R1T5,3.0216,2.292,0.0676,5.8277,0.0434,0.014,
1,26/02/2014,R1T6,1.3125,2.2306,0.2774,5.7258,0.0353,0.0287,
1,26/02/2014,R1T7,14.292,0.5624,0.0795,5.3872,0.0927,0.0445,
1,26/02/2014,R1T8,0.0896,0.1153,0.0007,4.9765,0.0962,0.0284,
1,26/02/2014,R1TA,0.5677,0.335,0.1022,3.9716,0.1247,0.023,
2,26/02/2014,R2T1,0.9547,4.5369,0.0008,9.2147,0.1083,0.0517,
2,26/02/2014,R2T2,1.557,0.995,0.0085,11.8712,0.0545,0.0183,0.5943 (psyllid cases)
2,26/02/2014,R2T3,2.878,13.4223,0.8412,11.8435,0.1422,0.0406,.1740 (psyllid cases)
2,26/02/2014,R2T4,0.9476,3.3822,0.0294,13.6913,0.0347,0.0039,.1409 (psyllid cases)
2,26/02/2014,R2T5,2.4006,8.4078,0.4648,11.281,0.537,0.0122,.1374(psyllid cases)
2,26/02/2014,R2T6,1.377,0.3534,0.1096,9.2717,0.0726,0.0564,.1661(psyllid cases)
2,26/02/2014,R2T7,2.9043,0.2432,0.2807,10.2377,0.133,0.0279,0.1200(psyllid cases)
2,26/02/2014,R2T8,21.1704,1.2078,0.7587,9.0761,0.1161,0.0114,
2,26/02/2014,R2TA,1.0012,0.4117,0.1926,5.2126,0.0726,0.0705,
3,26/02/2014,R3T1,3.5046,1.6336,0.3551,10.6705,0.0506,0.0319,
3,26/02/2014,R3T2,0.9431,2.4758,0.0038,6.3495,0.0245,0.0279,
3,26/02/2014,R3T3,0.9865,1.781,0.094,8.2886,0.0813,0.0162,
3,26/02/2014,R3T4,0.8145,3.748,0.914,12.2214,0.1102,0.0427,
3,26/02/2014,R3T5,1.9783,3.2862,0,10.5797,0.1606,0.0766,
3,26/02/2014,R3T6,1.0393,3.8369,0.0425,9.6331,0.1015,0.0558,
3,26/02/2014,R3T7,6.8276,3.7752,0.2291,8.6404,0.0152,0.0357,
3,26/02/2014,R3T8,4.9059,5.5314,0.0545,7.3677,0.0741,0.0866,
3,26/02/2014,R3TA,0.6301,0.6133,0.2655,3.2588,0.0567,0.0603,
4,26/02/2014,R4T1,1.1628,5.1566,0,12.5883,0.1222,0.0068,
4,26/02/2014,R4T2,0.8609,0.9426,0,9.8909,0.1317,0.0397,
4,26/02/2014,R4T3,4.0965,0.7548,0.0096,13.6386,0.4124,0.0611,
4,26/02/2014,R4T4,2.3648,22.6129,0.0179,9.71,0.0644,0.019,
4,26/02/2014,R4T5,1.9913,1.5993,0.26,6.9678,0.1139,0.07,
4,26/02/2014,R4T6,3.8326,8.4143,0.1873,7.6916,0.1823,0.1007,
4,26/02/2014,R4T7,0.8566,0.4586,0,9.9023,0.0146,0.041,
4,26/02/2014,R4T8,1.1916,3.4507,0.0041,10.4084,0.2023,0.0453,
4,26/02/2014,R4TA,0.5313,0.2575,0.0375,2.8711,0.0847,0.0374,
5,26/02/2014,R5T1,4.593,9.1891,0.2676,7.157,0.034,0.205,Big bug 
5,26/02/2014,R5T2,2.0545,1.2963,0.155,5.01,0,0.0324,
5,26/02/2014,R5T3,1.388,4.1615,0.0926,7.398,0.0222,0.0183,
5,26/02/2014,R5T4,4.5088,1.3912,0.3028,7.4288,0.0363,0.0324,
5,26/02/2014,R5T5,11.5974,0.3743,0.2265,11.6697,0.0391,0.051,.2660 (leaf tumor)
5,26/02/2014,R5T6,2.3225,7.5363,0.1902,9.871,0.0202,0.0446,
5,26/02/2014,R5T7,5.663,22.3819,0.0918,7.1947,0.011,0.0438,
5,26/02/2014,R5T8,3.5685,2.1339,0.2747,10.9273,0.0194,0.0501,
5,26/02/2014,R5TA,1.0931,0.6763,0.4706,8.7816,0.0417,0.0776,
6,26/02/2014,R6T1,3.5823,6.2857,0.6896,14.5098,0.3435,0.4853,two big bugs
6,26/02/2014,R6T2,1.8962,3.3652,0.0275,7.194,0.0431,0.0777,
6,26/02/2014,R6T3,0.595,2.8272,0.187,12.3051,0.1295,0.046,
6,26/02/2014,R6T4,10.8584,4.1552,0.4766,13.9906,0.2647,0.1152,
6,26/02/2014,R6T5,2.1096,11.3843,0.5628,9.8643,0.0506,0.1321,
6,26/02/2014,R6T6,1.7646,3.2927,0.7905,10.2954,0,0.0222,
6,26/02/2014,R6T7,2.9025,3.0929,0,16.3754,0.1362,0.0795,
6,26/02/2014,R6T8,0.8548,5.282,0.2787,16.7722,0.0684,0.0736,
6,26/02/2014,R6TA,0.5031,0.2927,0.1518,7.4675,0.0389,0.1229,
1,13/03/2014,R1T1,0.0324,1.186,0,1.7705,0.0022,0.0018,
1,13/03/2014,R1T2,0.0343,0.0241,0,1.3156,0.0751,0.1609,
1,13/03/2014,R1T3,0.2512,0.097,0.1651,1.1249,0,0.0158,
1,13/03/2014,R1T4,0.2781,0.0605,0,0.2598,0,0.0138,
1,13/03/2014,R1T5,0.1908,0,0.016,1.0046,0,0.0617,
1,13/03/2014,R1T6,0.3404,1.2804,0.0393,0.8876,0,0.0542,
1,13/03/2014,R1T7,0.4134,0.9156,0,0.7528,0.0014,0.0138,
1,13/03/2014,R1T8,2.9312,0.1106,0,0.7007,0,0.0145,
1,13/03/2014,R1TA,0.5986,0.3344,0.0733,0.8645,0.0488,0.035,
2,13/03/2014,R2T1,0.0675,0.0094,0,1.9057,0,0.0735,
2,13/03/2014,R2T2,0.1643,0.1027,0,3.164,0,0.0734,
2,13/03/2014,R2T3,0.0659,0.3928,0.2758,0.6748,0,0.0028,
2,13/03/2014,R2T4,0.177,0.2055,0.0916,5.749,0,0.2075,
2,13/03/2014,R2T5,0.2763,0.6893,0.5694,1.6368,0.0018,0.0211,
2,13/03/2014,R2T6,0.8105,0.0485,0,1.3257,0.0013,0.0202,
2,13/03/2014,R2T7,0.5613,0.0919,0.4002,2.2825,0.0106,0.013,
2,13/03/2014,R2T8,0.2781,0.1367,0.0071,1.078,0.0113,0.0244,
2,13/03/2014,R2TA,0.5986,0.334,0.1188,0.992,0.226,0.0544,
3,13/03/2014,R3T1,0.0186,0,0,1.6472,0,0.018,
3,13/03/2014,R3T2,0,0.244,0.1001,0.7564,0,0.005,
3,13/03/2014,R3T3,0.19,0.309,0,2.1548,0,0.0049,
3,13/03/2014,R3T4,0.548,0.0731,0.0633,1.1918,0.0023,0.0273,
3,13/03/2014,R3T5,0.0201,0.0303,0,0.6732,0,0.0212,
3,13/03/2014,R3T6,0.0571,1.9982,0.1022,1.4407,0,0.0584,
3,13/03/2014,R3T7,0.08,0.3619,0.1121,1.2027,0,0.0086,
3,13/03/2014,R3T8,0.1372,0.939,0.0006,2.7009,0,0.0083,
3,13/03/2014,R3TA,0.17,0.3898,0.055,0.679,0.0163,0.0471,
4,13/03/2014,R4T1,0.104,0.8662,0,1.0337,0,0.0416,
4,13/03/2014,R4T2,0.371,0.0432,0.1288,0.0459,0,0.0103,
4,13/03/2014,R4T3,0.1904,0.6821,0.002,0.9632,0.0057,0.0037,
4,13/03/2014,R4T4,0.4171,0.094,0.1291,0.6286,0.0056,0.0098,
4,13/03/2014,R4T5,0.1336,0.1006,0.0129,1.5066,0,0.0164,
4,13/03/2014,R4T6,0.0327,6.1645,0.0021,0.7604,0.0069,0.0245,
4,13/03/2014,R4T7,0.4132,0,0,0.8132,0,0.0024,
4,13/03/2014,R4T8,0.1105,0,0.0067,1.4566,0,0.0307,
4,13/03/2014,R4TA,0.1561,0.1642,0.1007,0.752,0.0296,0.0211,
5,13/03/2014,R5T1,0.2988,0.0355,0.0747,0.5337,0,0.0251,
5,13/03/2014,R5T2,0,0.0647,0.1029,1.0282,0.3444,0.0317,
5,13/03/2014,R5T3,0.2966,0,0.1123,0.4032,0,0.015,
5,13/03/2014,R5T4,0.6571,0.0183,0.479,0.5699,0,0.004,
5,13/03/2014,R5T5,0.2978,2.0345,0.0322,1.7046,0,0.1083,
5,13/03/2014,R5T6,0.3577,6.8172,0,2.6138,0.0448,0.037,
5,13/03/2014,R5T7,1.0676,0.0831,0.3691,1.015,0,0.002,
5,13/03/2014,R5T8,0.5424,0.9964,0.0193,1.4802,0,0.0074,
5,13/03/2014,R5TA,0.6754,0.384,1.1905,0.2589,0.1164,0.0572,
6,13/03/2014,R6T1,0.3114,0.0067,0,2.2266,0,0.061,
6,13/03/2014,R6T2,0.2871,0,0,1.4644,0.0017,0.0183,
6,13/03/2014,R6T3,0.0757,0.0508,0.0204,1.7243,0,0.0361,
6,13/03/2014,R6T4,1.3972,1.0342,0.1669,1.9387,0.0029,0.085,
6,13/03/2014,R6T5,0.1789,0.7237,0.0119,1.4859,0,0.0106,
6,13/03/2014,R6T6,0.0479,1.3087,0,1.9501,0,0.0251,
6,13/03/2014,R6T7,0.841,0.0812,0.0382,2.866,0.042,0.0175,
6,13/03/2014,R6T8,0.2254,2.6586,0,1.0909,0,0.0277,
6,13/03/2014,R6TA,0.4274,0.337,0.5901,1.8052,0.0905,0.04,
1,14/04/2014,R1T1,0.4403,7.6889,0.3556,1.1371,0.0099,0.0047,
1,14/04/2014,R1T2,4.6173,0.2884,0,0.972,0.0184,0.016,
1,14/04/2014,R1T3,0.587,1.3471,0,1.1366,0.0072,0.0196,
1,14/04/2014,R1T4,,,,,,,"bag was stapled with the frass bags, empty"
1,14/04/2014,R1T5,4.6913,0.6187,0.0889,2.6798,0.0049,0.0395,
1,14/04/2014,R1T6,1.4147,5.2246,0,2.5065,0.0097,0.0105,
1,14/04/2014,R1T7,4.4316,2.9576,0.0468,7.7446,0.1918,0.0491,
1,14/04/2014,R1T8,0.6218,0.4676,0.0056,1.8874,0.032,0.0443,
2,14/04/2014,R2T1,1.1077,2.3324,0,2.5387,0.0142,0.0923,
2,14/04/2014,R2T2,2.485,1.3508,0.2066,2.6459,0.0342,0.0741,
2,14/04/2014,R2T3,0.4515,0.3756,0,2.2754,0,0.0255,
2,14/04/2014,R2T4,4.0742,0.2689,0.0462,4.9678,0.0085,0.0335,
2,14/04/2014,R2T5,1.6795,0.0354,0.0795,2.6207,0.0166,0.0506,
2,14/04/2014,R2T6,1.7001,1.3732,0.2202,2.6861,0.0255,0.0553,
2,14/04/2014,R2T7,8.1117,0.0088,0,5.9773,0.0069,0.1568,
2,14/04/2014,R2T8,1.0525,0.282,0.1039,3.0536,0.0063,0.0296,
3,14/04/2014,R3T1,0.3411,0.8805,0.0629,5.7586,0.0018,0.0021,
3,14/04/2014,R3T2,1.2398,0.655,0.0979,4.1805,0,0.0038,
3,14/04/2014,R3T3,0,0.079,0,1.4764,0,0.0013,
3,14/04/2014,R3T4,0.8697,0,0,4.0381,0.0021,0.0028,
3,14/04/2014,R3T5,1.3658,0.0729,0,4.7088,0.0016,0.0094,
3,14/04/2014,R3T6,0.4979,0.1163,0.1141,3.4206,0.002,0.0033,
3,14/04/2014,R3T7,0.3284,0.0946,0.2518,3.5219,0.0013,0.0028,
3,14/04/2014,R3T8,4.0565,0.2794,0,2.5593,0.0017,0.016,
4,14/04/2014,R4T1,4.5333,1.2835,0.0237,1.987,0,0.015,
4,14/04/2014,R4T2,0.9599,0.4967,0.0071,2.8692,0.0217,0.0151,
4,14/04/2014,R4T3,2.2556,0.2805,0.1946,2.2516,0.0066,0.0094,
4,14/04/2014,R4T4,0.066,1.3058,0,2.2271,0.0027,0.0061,
4,14/04/2014,R4T5,0.4112,5.9609,0.0023,2.2445,0,0.0045,
4,14/04/2014,R4T6,0.8142,0.1674,0.0839,3.1578,0,0.0411,
4,14/04/2014,R4T7,1.4316,0.0074,0.0031,1.3513,0,0.0072,
4,14/04/2014,R4T8,4.493,0.2788,0.0304,3.0978,0,0.0201,
5,14/04/2014,R5T1,1.7609,0.2164,0.9242,2.3755,0.0198,0.1353,
5,14/04/2014,R5T2,5.88,0.3832,0.9726,2.3721,0.0125,0.0155,
5,14/04/2014,R5T3,0.3963,0.437,0.055,2.922,0.0029,0.0121,
5,14/04/2014,R5T4,0.2971,2.5049,0.4236,3.6647,0.0099,0.0497,
5,14/04/2014,R5T5,0.1003,2.535,0.0959,3.3629,0.0026,0.0794,
5,14/04/2014,R5T6,0.8477,2.5171,0.0572,6.2458,0,0.0102,
5,14/04/2014,R5T7,0.278,1.3991,0,2.1103,0,0.0079,
5,14/04/2014,R5T8,3.195,1.2895,0.0904,7.969,0,0.1311,
6,14/04/2014,R6T1,2.18,1.2634,0.2601,6.7945,0.0044,0.118,
6,14/04/2014,R6T2,3.4668,0.1887,0,4.3246,0.0037,0.0456,
6,14/04/2014,R6T3,0.7573,0.0704,0,4.42,0.1102,0.217,
6,14/04/2014,R6T4,0.3276,1.5862,0.2762,6.1168,0.1014,0.1592,
6,14/04/2014,R6T5,0.7103,1.855,0,5.0706,0.0018,0.1641,
6,14/04/2014,R6T6,1.092,1.3894,0.0106,5.9304,0.1073,0.4005,
6,14/04/2014,R6T7,0.7235,0.2831,0,6.7262,0.1816,0.0631,
6,14/04/2014,R6T8,1.0311,0.363,0.1108,6.3835,0,0.078,
1,7/05/2014,R1T1,0.0328,0.2807,0.0263,0.8083,0,0.0222,
1,7/05/2014,R1T2,0.396,0.1621,0,0.4559,0.0021,0.0006,
1,7/05/2014,R1T3,5.3337,0.285,0,0.7112,0,0.0182,
1,7/05/2014,R1T4,1.4672,0.2592,0.0518,3.4018,0.0036,0.0033,
1,7/05/2014,R1T5,0.2552,1.0186,0,0.6201,0,0.0207,
1,7/05/2014,R1T6,0.2769,0,0,0.9332,0,0.0061,
1,7/05/2014,R1T7,0.8526,0.0255,0,0.2924,0,0.0142,
1,7/05/2014,R1T8,0.4307,0.9943,0.0106,0.882,0,0.0042,
2,7/05/2014,R2T1,0.0279,0.0124,0.0436,1.0396,0,0.0053,
2,7/05/2014,R2T2,0.9,0.5813,0.0488,1.5333,0,0.0099,
2,7/05/2014,R2T3,0.0635,0.0271,0.1388,0.7903,0,0.02,
2,7/05/2014,R2T4,0.1871,0.1686,0.0459,3.0104,0,0.0082,
2,7/05/2014,R2T5,1.236,0.0859,0.0807,1.4179,0,0.0158,
2,7/05/2014,R2T6,0.1987,0.1643,0,1.1319,0.0274,0.0072,
2,7/05/2014,R2T7,3.5974,0.003,0.004,1.3767,0,0.0654,
2,7/05/2014,R2T8,0.8165,3.9243,0.0355,1.7046,0,0.0202,
3,7/05/2014,R3T1,0.2966,0,0,1.6664,0,0.0097,
3,7/05/2014,R3T2,0.0209,0.8149,0,1.4767,0.0001,0,
3,7/05/2014,R3T3,0.7504,0.0899,0,0.7343,0,0.0084,
3,7/05/2014,R3T4,9.2213,0.222,0.072,1.1291,0.065,0.0077,
3,7/05/2014,R3T5,0.2692,0.0192,0,1.8272,0.0017,0.0051,
3,7/05/2014,R3T6,0.1444,0.2902,0.1373,1.4114,0.0061,0.0077,
3,7/05/2014,R3T7,0.5435,0,0.0272,2.115,0,0.0481,
3,7/05/2014,R3T8,0.2943,0.4005,0.005,2.4623,0,0.0052,
4,7/05/2014,R4T1,1.4504,0.0095,0,0.248,0,0.0021,
4,7/05/2014,R4T2,0.2039,0.5451,0,1.0982,0,0.0032,
4,7/05/2014,R4T3,0.4473,0.651,0,0.2843,0,0.0008,
4,7/05/2014,R4T4,0.5122,0.0176,0.0199,1.4051,0.0029,0.0059,
4,7/05/2014,R4T5,0.0732,0,0,2.2026,0.0284,0.0204,
4,7/05/2014,R4T6,0.2002,0.1841,0,2.0712,0,0.0042,
4,7/05/2014,R4T7,0.4125,0.0953,0,0.3689,0.0005,0.0021,
4,7/05/2014,R4T8,0.061,0.5773,0,0.3726,0.0039,0.006,
5,7/05/2014,R5T1,0.8124,0.1466,0.1115,1.6876,0.0075,0.0708,
5,7/05/2014,R5T2,2.4094,0.0278,0.1875,1.0381,0,0.0338,
5,7/05/2014,R5T3,0.092,0.1827,0,0.922,0,0.0024,
5,7/05/2014,R5T4,0.1393,1.616,0.0839,0.9727,0.0057,0.0597,
5,7/05/2014,R5T5,0.1441,0,0.0202,1.4942,0,0.0057,
5,7/05/2014,R5T6,1.515,0.4523,0,2.3535,0.0546,0.0147,
5,7/05/2014,R5T7,8.8172,0.008,0.0448,1.6301,0,0.0045,
5,7/05/2014,R5T8,2.0274,1.3828,0.0111,2.9133,0,0.0763,
6,7/05/2014,R6T1,1.9646,0.0283,0.0734,3.7223,0.0667,0.0439,
6,7/05/2014,R6T2,0.4137,1.121,0.0041,1.8747,0.0284,0.0144,
6,7/05/2014,R6T3,1.6913,0.1315,0.0383,1.6346,0,0.0184,
6,7/05/2014,R6T4,1.7329,8.1324,0.0873,1.2819,0.1081,0.0732,
6,7/05/2014,R6T5,1.6026,0.025,0.0804,1.9373,0.0099,0.0191,
6,7/05/2014,R6T6,0.6102,0.2688,0.0122,0.747,0,0.0348,
6,7/05/2014,R6T7,1.501,1.0593,0.0419,2.519,0.0038,0.0134,
6,7/05/2014,R6T8,2.5695,0.2998,0.0156,0.7736,0,0.0369,
1,12/06/2014,R1T1,0.1081,0.0612,0.0402,3.4002,0.0682,0.0045,
1,12/06/2014,R1T2,0,0,0,1.4596,0.0003,0.0017,
1,12/06/2014,R1T3,0.0511,0.0157,0,0.9985,0.0029,0,
1,12/06/2014,R1T4,0.2566,0,0.0439,1.1594,0.0018,0.0002,
1,12/06/2014,R1T5,0.1377,0.1474,0.0079,0.7092,0.0003,0.0219,
1,12/06/2014,R1T6,0.1216,0.0266,0,1.6938,0.0006,0.0001,
1,12/06/2014,R1T7,0.5072,0,0.538,1.0658,0.0058,0.0015,
1,12/06/2014,R1T8,0.0826,1.53,0.0162,0.8561,0.0046,0.0041,
1,12/06/2014,R1TA,,,,,,,
2,12/06/2014,R2T1,0.1439,0.002,0,1.0661,0.0027,0,
2,12/06/2014,R2T2,0.157,0.1034,0.0783,3.6335,0.0065,0.0071,
2,12/06/2014,R2T3,0.0393,0.7475,0,2.2671,0.0034,0.0025,
2,12/06/2014,R2T4,0.1302,0,0,2.3199,0.0075,0.0039,
2,12/06/2014,R2T5,0.2728,0.0095,0.0355,1.6514,0.0028,0.0001,
2,12/06/2014,R2T6,0.0355,0.0085,0,2.2872,0.006,0.002,
2,12/06/2014,R2T7,0.026,0.8058,0.0399,1.8688,0.0109,0,
2,12/06/2014,R2T8,0.7226,0.0152,0.002,1.6585,0.0057,0.0031,
2,12/06/2014,R2TA,,,,,,,
3,12/06/2014,R3T1,0.2478,0.0341,0.0005,3.4555,0.0455,0.0014,
3,12/06/2014,R3T2,0.029,0.1891,0,2.1188,0.0181,0,
3,12/06/2014,R3T3,0.0722,0.0405,0,1.7548,0.0006,0.0084,
3,12/06/2014,R3T4,0,0,0.0001,3.0495,0.0002,0,
3,12/06/2014,R3T5,0.466,0.8217,0,4.2578,0.0507,0.0087,
3,12/06/2014,R3T6,0.3718,0.0126,0,1.0929,0.006,0,
3,12/06/2014,R3T7,0.0142,0,0.2153,2.481,0.004,0.0038,
3,12/06/2014,R3T8,0.1828,0.0263,0.0006,5.9858,0.0466,0.0004,
3,12/06/2014,R3TA,,,,,,,
4,12/06/2014,R4T1,0.0629,0.0329,0.0385,1.3825,0.0033,0,
4,12/06/2014,R4T2,0.0091,0.006,0.0019,1.2083,0.0005,0.0007,
4,12/06/2014,R4T3,0.0454,0.0577,0,1.8199,0.009,0.0054,
4,12/06/2014,R4T4,4.6896,0.1678,0.0933,9.1066,0.0177,0,
4,12/06/2014,R4T5,0.0196,0.0533,0.0226,1.707,0.1023,0.0021,
4,12/06/2014,R4T6,0.15,0.0624,0,2.0005,0.0051,0,
4,12/06/2014,R4T7,1.0255,6.022,0,4.3825,0.0026,0.006,
4,12/06/2014,R4T8,0.0152,0,0.0043,1.1953,0.0019,0.0045,
4,12/06/2014,R4TA,,,,,,,
5,12/06/2014,R5T1,0.0076,0.0355,0.2914,0.7807,0.0172,0.0061,
5,12/06/2014,R5T2,0,0.0184,0.1257,1.1639,0.0126,0.0048,
5,12/06/2014,R5T3,0.6952,0.3263,0,1.1919,0.0027,0.0014,
5,12/06/2014,R5T4,0.1228,0.1284,0.09,0.8547,0.0029,0.0094,
5,12/06/2014,R5T5,0.058,0.2112,0,1.1082,0.0804,0.0778,
5,12/06/2014,R5T6,1.2489,0.017,0.0079,1.8501,0.0997,0.0099,
5,12/06/2014,R5T7,1.6478,0.0075,0.0019,4.3588,0.0309,0.0091,
5,12/06/2014,R5T8,0.2836,0.0555,0.1117,3.5331,0.0459,0.0106,
5,12/06/2014,R5TA,,,,,,,
6,12/06/2014,R6T1,1.0493,6.2177,0.1792,6.8602,0.0685,0.0278,
6,12/06/2014,R6T2,0.1185,0.1141,0,1.4812,0.0033,0.0207,
6,12/06/2014,R6T3,1.0497,2.6471,0.0794,2.0336,0.1055,0.0126,
6,12/06/2014,R6T4,0.6091,1.8207,0.1383,6.9582,0.0653,0.1898,
6,12/06/2014,R6T5,1.5021,0,0.231,5.4038,0.025,0.0093,
6,12/06/2014,R6T6,0.4242,0.3405,0.0621,1.5305,0.0036,0.0019,
6,12/06/2014,R6T7,0.3948,0,0,4.2694,0.0135,0.0051,
6,12/06/2014,R6T8,0.0695,1.3511,0.0788,5.8875,0.0094,45,
6,12/06/2014,R6TA,,,,,,,
1,3/07/2014,R1T1,4.18,1.5993,0.0056,2.1843,0,0,
1,3/07/2014,R1T2,1.0743,6.9304,0,1.2253,0.0037,0.0002,
1,3/07/2014,R1T3,2.0944,0.2131,0,2.6415,0.0137,0.0002,
1,3/07/2014,R1T4,1.9963,0.4248,0,1.9364,0,0.0001,
1,3/07/2014,R1T5,2.2422,0.8805,0,2.5297,0.014,0.0001,
1,3/07/2014,R1T6,0.5389,0.9653,0.215,1.4174,0.0021,0.0001,
1,3/07/2014,R1T7,0.764,0.2634,0,0.7011,0.0025,0,
1,3/07/2014,R1T8,0.3401,0.0498,0,0.8047,0.0063,0,
1,3/07/2014,R1TA,,,,,,,
2,3/07/2014,R2T1,5.0118,0,0.1286,2.3312,0.0165,0.0001,
2,3/07/2014,R2T2,1.4341,4.8402,0,1.121,0.0001,0,
2,3/07/2014,R2T3,0.5054,3.9115,0,2.1297,0.0001,0.0015,
2,3/07/2014,R2T4,0.4581,0.8887,0,3.1868,0.0487,0.0147,
2,3/07/2014,R2T5,3.2701,3.8331,0,3.0401,0.0214,0,
2,3/07/2014,R2T6,5.0832,0.0812,0,3.2119,0.0049,0.0001,
2,3/07/2014,R2T7,2.8515,0.2479,0.3304,2.4509,0.0043,0.0022,
2,3/07/2014,R2T8,4.5364,0.114,0.0924,1.0533,0.0033,0.0002,
2,3/07/2014,R2TA,,,,,,,
